time,Elbe
1951-08-31,282.0
1951-09-30,248.0
1951-10-31,237.0
1951-11-30,251.0
1951-12-31,350.0
1952-01-31,410.0
1952-02-29,385.0
1952-03-31,685.0
1952-04-30,1278.0
1952-05-31,567.0
1952-06-30,401.0
1952-07-31,265.0
1952-08-31,181.0
1952-09-30,283.0
1952-10-31,468.0
1952-11-30,796.0
1952-12-31,727.0
1953-01-31,621.0
1953-02-28,1382.0
1953-03-31,1356.0
1953-04-30,738.0
1953-05-31,427.0
1953-06-30,411.0
1953-07-31,499.0
1953-08-31,312.0
1953-09-30,226.0
1953-10-31,228.0
1953-11-30,242.0
1953-12-31,229.0
1954-01-31,269.0
1954-02-28,374.0
1954-03-31,357.0
1954-04-30,633.0
1954-05-31,477.0
1954-06-30,280.0
1954-07-31,1249.0
1954-08-31,633.0
1954-09-30,535.0
1954-10-31,625.0
1954-11-30,463.0
1954-12-31,502.0
1955-01-31,1337.0
1955-02-28,962.0
1955-03-31,719.0
1955-04-30,1685.0
1955-05-31,889.0
1955-06-30,537.0
1955-07-31,970.0
1955-08-31,1076.0
1955-09-30,655.0
1955-10-31,500.0
1955-11-30,485.0
1955-12-31,691.0
1956-01-31,998.0
1956-02-29,472.0
1956-03-31,1513.0
1956-04-30,1312.0
1956-05-31,1158.0
1956-06-30,920.0
1956-07-31,1029.0
1956-08-31,701.0
1956-09-30,503.0
1956-10-31,467.0
1956-11-30,945.0
1956-12-31,1282.0
1957-01-31,1051.0
1957-02-28,1294.0
1957-03-31,1391.0
1957-04-30,1253.0
1957-05-31,626.0
1957-06-30,393.0
1957-07-31,437.0
1957-08-31,840.0
1957-09-30,556.0
1957-10-31,764.0
1957-11-30,537.0
1957-12-31,578.0
1958-01-31,837.0
1958-02-28,1122.0
1958-03-31,1318.0
1958-04-30,1357.0
1958-05-31,1209.0
1958-06-30,737.0
1958-07-31,1488.0
1958-08-31,623.0
1958-09-30,470.0
1958-10-31,709.0
1958-11-30,693.0
1958-12-31,613.0
1959-01-31,990.0
1959-02-28,649.0
1959-03-31,761.0
1959-04-30,581.0
1959-05-31,610.0
1959-06-30,361.0
1959-07-31,359.0
1959-08-31,469.0
1959-09-30,298.0
1959-10-31,252.0
1959-11-30,352.0
1959-12-31,326.0
1960-01-31,512.0
1960-02-29,490.0
1960-03-31,924.0
1960-04-30,717.0
1960-05-31,446.0
1960-06-30,365.0
1960-07-31,352.0
1960-08-31,474.0
1960-09-30,396.0
1960-10-31,693.0
1960-11-30,806.0
1960-12-31,978.0
1961-01-31,768.0
1961-02-28,1422.0
1961-03-31,1144.0
1961-04-30,1232.0
1961-05-31,1061.0
1961-06-30,1550.0
1961-07-31,627.0
1961-08-31,496.0
1961-09-30,391.0
1961-10-31,360.0
1961-11-30,477.0
1961-12-31,660.0
1962-01-31,631.0
1962-02-28,977.0
1962-03-31,970.0
1962-04-30,1340.0
1962-05-31,933.0
1962-06-30,662.0
1962-07-31,473.0
1962-08-31,364.0
1962-09-30,363.0
1962-10-31,349.0
1962-11-30,331.0
1962-12-31,361.0
1963-01-31,279.0
1963-02-28,248.0
1963-03-31,660.0
1963-04-30,676.0
1963-05-31,574.0
1963-06-30,426.0
1963-07-31,366.0
1963-08-31,230.0
1963-09-30,278.0
1963-10-31,323.0
1963-11-30,401.0
